date,district_id,district_name,state,lat,lon,insar_subsidence_mm,rainfall_mm,evapotranspiration_mm,soil_type,extraction_stage_percent,water_depth_mbgl
2017-01-01,0,Sangrur,Punjab,30.2458,75.8421,-3.2340653774313344,0.0,1.0,Sandy Loam,260.0,37.580981188028765
2017-01-02,0,Sangrur,Punjab,30.2458,75.8421,-3.800690857216926,0.0,1.0,Sandy Loam,260.0,37.37080283906316
2017-01-03,0,Sangrur,Punjab,30.2458,75.8421,-1.267009975442503,0.0,1.0,Sandy Loam,260.0,37.60456378616375
2017-01-04,0,Sangrur,Punjab,30.2458,75.8421,-1.8963093377520301,0.0,1.0,Sandy Loam,260.0,37.62289480049741
2017-01-05,0,Sangrur,Punjab,30.2458,75.8421,-2.432574502470347,0.0,1.0,Sandy Loam,260.0,37.27461440050621
2017-01-06,0,Sangrur,Punjab,30.2458,75.8421,-2.9678372425143476,0.0,1.0,Sandy Loam,260.0,37.3276319319022
2017-01-07,0,Sangrur,Punjab,30.2458,75.8421,-3.150821498668554,0.0,1.3932061992819036,Sandy Loam,260.0,37.300104145839576
2017-01-08,0,Sangrur,Punjab,30.2458,75.8421,-3.699548226537518,0.0,1.0,Sandy Loam,260.0,37.75370456913713
2017-01-09,0,Sangrur,Punjab,30.2458,75.8421,-3.2947805329052695,0.0,1.0,Sandy Loam,260.0,37.27364432182797
2017-01-10,0,Sangrur,Punjab,30.2458,75.8421,-4.755654131546911,0.0,1.0,Sandy Loam,260.0,37.56939376842067
2017-01-11,0,Sangrur,Punjab,30.2458,75.8421,-3.757705324681911,0.0,1.3276823757438692,Sandy Loam,260.0,37.107721480220036
2017-01-12,0,Sangrur,Punjab,30.2458,75.8421,-3.5261668318879913,0.0,1.0,Sandy Loam,260.0,37.12958829201221
2017-01-13,0,Sangrur,Punjab,30.2458,75.8421,-2.8973584559770416,0.0,1.0,Sandy Loam,260.0,37.15572568540131
2017-01-14,0,Sangrur,Punjab,30.2458,75.8421,-3.5243236930466115,0.0,1.0,Sandy Loam,260.0,37.11291143533538
2017-01-15,0,Sangrur,Punjab,30.2458,75.8421,-2.9628297239667525,0.0,1.0,Sandy Loam,260.0,37.18100362552516
2017-01-16,0,Sangrur,Punjab,30.2458,75.8421,-2.6251030155027335,0.0,1.7423725910287104,Sandy Loam,260.0,37.09667737666417
2017-01-17,0,Sangrur,Punjab,30.2458,75.8421,-2.9627668483826253,0.0,1.0,Sandy Loam,260.0,37.06228737395488
2017-01-18,0,Sangrur,Punjab,30.2458,75.8421,-3.537027778475738,7.30401870299748,1.3215116136126248,Sandy Loam,260.0,37.34154935659402
2017-01-19,0,Sangrur,Punjab,30.2458,75.8421,-4.007311349452187,0.0,1.1432814613688131,Sandy Loam,260.0,37.33433942670736
2017-01-20,0,Sangrur,Punjab,30.2458,75.8421,-4.904023260757772,0.0,1.626354294746137,Sandy Loam,260.0,37.27656485069463
2017-01-21,0,Sangrur,Punjab,30.2458,75.8421,-3.6292471494754546,0.0,1.0,Sandy Loam,260.0,37.196584505050104
2017-01-22,0,Sangrur,Punjab,30.2458,75.8421,-2.9784250785400346,0.0,1.0,Sandy Loam,260.0,37.11613067073712
2017-01-23,0,Sangrur,Punjab,30.2458,75.8421,-4.148762918847005,0.0,1.6402453948962628,Sandy Loam,260.0,37.01232523442902
2017-01-24,0,Sangrur,Punjab,30.2458,75.8421,-2.988062721411779,0.0,1.3388102418199432,Sandy Loam,260.0,36.92899857726959
2017-01-25,0,Sangrur,Punjab,30.2458,75.8421,-5.840940807811417,0.0,1.0,Sandy Loam,260.0,37.11195116684108
2017-01-26,0,Sangrur,Punjab,30.2458,75.8421,-5.641612489672952,0.0,1.0,Sandy Loam,260.0,36.86742945605597
2017-01-27,0,Sangrur,Punjab,30.2458,75.8421,-4.131097924256318,0.0,1.4262194377336115,Sandy Loam,260.0,36.880805872967464
2017-01-28,0,Sangrur,Punjab,30.2458,75.8421,-4.699977630843426,0.0,1.6891882823147824,Sandy Loam,260.0,37.18970383739736
2017-01-29,0,Sangrur,Punjab,30.2458,75.8421,-3.9557026025397604,0.0,1.0,Sandy Loam,260.0,37.28919477353914
2017-01-30,0,Sangrur,Punjab,30.2458,75.8421,-5.113586880183232,0.0,1.0,Sandy Loam,260.0,37.05088472760382
2017-01-31,0,Sangrur,Punjab,30.2458,75.8421,-5.889228858832732,0.0,1.6485531920050709,Sandy Loam,260.0,37.14611912730691
2017-02-01,0,Sangrur,Punjab,30.2458,75.8421,-5.458515096857475,0.0,1.0,Sandy Loam,260.0,36.91691688577929
2017-02-02,0,Sangrur,Punjab,30.2458,75.8421,-6.605728241494833,0.0,1.0,Sandy Loam,260.0,36.74355673785159
2017-02-03,0,Sangrur,Punjab,30.2458,75.8421,-6.373538546527849,0.0,1.0,Sandy Loam,260.0,37.00975116139808
2017-02-04,0,Sangrur,Punjab,30.2458,75.8421,-4.78293619008634,0.0,1.9602128781194237,Sandy Loam,260.0,36.99587673408446
2017-02-05,0,Sangrur,Punjab,30.2458,75.8421,-4.952023584094417,0.0,1.6609427939944397,Sandy Loam,260.0,36.91408839278968
2017-02-06,0,Sangrur,Punjab,30.2458,75.8421,-5.448345527206598,0.0,1.5279286938527177,Sandy Loam,260.0,36.86015234673458
2017-02-07,0,Sangrur,Punjab,30.2458,75.8421,-7.203236545053237,0.0,2.3800900191016456,Sandy Loam,260.0,37.034344139764094
2017-02-08,0,Sangrur,Punjab,30.2458,75.8421,-6.19985017490806,0.0,2.049746007296543,Sandy Loam,260.0,36.736006090301146
2017-02-09,0,Sangrur,Punjab,30.2458,75.8421,-6.979004562017321,0.0,2.585410924157355,Sandy Loam,260.0,36.76201714094392
2017-02-10,0,Sangrur,Punjab,30.2458,75.8421,-5.142777531488031,0.0,1.1277281479835843,Sandy Loam,260.0,36.72158231312489
2017-02-11,0,Sangrur,Punjab,30.2458,75.8421,-6.63510132786438,0.0,1.8542994383956222,Sandy Loam,260.0,36.880523334347494
2017-02-12,0,Sangrur,Punjab,30.2458,75.8421,-7.119959395837598,0.0,1.1113267644785518,Sandy Loam,260.0,36.69997689781744
2017-02-13,0,Sangrur,Punjab,30.2458,75.8421,-6.309878398612762,0.0,1.8537165867404235,Sandy Loam,260.0,36.75632337450551
2017-02-14,0,Sangrur,Punjab,30.2458,75.8421,-6.927308136014759,0.0,1.8934253073315779,Sandy Loam,260.0,36.749320812147005
2017-02-15,0,Sangrur,Punjab,30.2458,75.8421,-5.3087727194464325,0.0,2.3809521190208125,Sandy Loam,260.0,36.812752356177654
2017-02-16,0,Sangrur,Punjab,30.2458,75.8421,-7.163313042980416,0.0,2.1409111219788,Sandy Loam,260.0,36.6258406054046
2017-02-17,0,Sangrur,Punjab,30.2458,75.8421,-7.773656035432252,0.0,2.4808735074179937,Sandy Loam,260.0,36.8595824023523
2017-02-18,0,Sangrur,Punjab,30.2458,75.8421,-8.45452565757665,0.0,2.5724725337881544,Sandy Loam,260.0,37.03161116296499
2017-02-19,0,Sangrur,Punjab,30.2458,75.8421,-6.833857728381485,0.0,3.35032584282124,Sandy Loam,260.0,36.86331912568614
2017-02-20,0,Sangrur,Punjab,30.2458,75.8421,-7.334918777017851,0.0,2.1678333014654836,Sandy Loam,260.0,37.073145432341676
2017-02-21,0,Sangrur,Punjab,30.2458,75.8421,-8.103757484692943,0.0,1.9080859206805896,Sandy Loam,260.0,37.04147652347621
2017-02-22,0,Sangrur,Punjab,30.2458,75.8421,-6.083625436664094,0.0,2.5552345197305857,Sandy Loam,260.0,36.95794943394778
2017-02-23,0,Sangrur,Punjab,30.2458,75.8421,-6.574697987378024,22.112037793972114,2.0851120789613025,Sandy Loam,260.0,36.852891954751605
2017-02-24,0,Sangrur,Punjab,30.2458,75.8421,-7.2036718644023,0.0,3.2817397995677173,Sandy Loam,260.0,36.84595577951383
2017-02-25,0,Sangrur,Punjab,30.2458,75.8421,-6.161357502538955,25.03082008737234,2.454089531461131,Sandy Loam,260.0,36.95853786334823
2017-02-26,0,Sangrur,Punjab,30.2458,75.8421,-6.793629874037219,0.0,2.3682650579728652,Sandy Loam,260.0,36.78710339969559
2017-02-27,0,Sangrur,Punjab,30.2458,75.8421,-8.051904937297218,0.0,2.4711492473586,Sandy Loam,260.0,36.56586388567529
